"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 16-Jul-2024"
"NIFTY 500","23,430.00","23,449.45","23,240.85","23,419.70","23,275.15","-","-144.55","-0.62","1,97,10,61,232","72,304.05","24,573.40","19,519.85","1.91","0.93"
"GMDCLTD","380.00","443.10","375.05","379.40","429.40","-","50.00","13.18","4,71,93,490","2,002.14","443.10","226.59","-5.00","-8.98"
"SAREGAMA","490.95","520.00","490.10","487.10","509.30","-","22.20","4.56","64,92,075","333.32","688.90","417.40","-10.28","-9.69"
"SAMMAANCAP","132.03","136.90","130.24","130.93","136.15","-","5.22","3.99","2,76,18,941","370.34","179.30","97.61","4.10","-"
"CHENNPETRO","748.00","788.00","743.70","747.25","777.00","-","29.75","3.98","63,88,175","492.22","1,244.85","433.10","17.27","-38.35"
"PVRINOX","978.00","1,030.00","958.45","976.15","1,014.30","-","38.15","3.91","13,21,807","132.70","1,748.00","830.00","2.56","-32.13"
"WELSPUNLIV","139.19","144.56","139.19","139.19","143.50","-","4.31","3.10","86,14,005","122.58","212.95","104.80","4.87","-20.13"
"DALBHARAT","2,197.60","2,258.00","2,187.80","2,189.60","2,253.00","-","63.40","2.90","5,80,404","129.41","2,258.00","1,601.00","6.19","14.29"
"JUBLPHARMA","1,205.00","1,239.00","1,194.00","1,200.80","1,234.50","-","33.70","2.81","5,45,057","66.43","1,309.90","701.80","7.18","62.54"
"WHIRLPOOL","1,405.00","1,462.00","1,392.40","1,404.80","1,442.10","-","37.30","2.66","5,86,408","84.13","2,449.70","899.00","5.55","-31.62"
"TRITURBINE","651.95","675.20","650.45","651.15","668.00","-","16.85","2.59","23,77,757","158.62","885.00","460.30","7.59","1.44"
"NMDC","69.82","71.64","69.70","69.56","71.34","-","1.78","2.56","5,88,72,250","416.58","83.05","59.53","1.36","-71.81"
"SUMICHEM","595.25","608.80","591.00","595.25","608.80","-","13.55","2.28","10,20,818","61.48","628.30","446.20","19.67","19.43"
"SAIL","133.46","136.75","133.41","133.60","136.63","-","3.03","2.27","1,06,12,550","143.69","156.35","99.15","5.27","-11.52"
"RAYMOND","700.00","734.00","693.05","696.70","712.20","-","15.50","2.22","11,73,180","83.96","2,380.00","523.10","17.56","-"
"WIPRO","268.60","271.90","265.60","260.60","266.35","-","5.75","2.21","3,03,19,126","811.73","324.60","228.00","-0.88","-53.44"
"GPPL","159.50","164.50","159.10","159.62","163.14","-","3.52","2.21","29,10,919","47.15","250.69","122.50","0.35","-28.92"
"KIMS","740.00","768.90","740.00","741.65","756.50","-","14.85","2.00","15,50,761","117.86","768.90","412.00","12.54","-65.05"
"BAJFINANCE","920.50","944.90","920.00","923.30","941.50","-","18.20","1.97","78,93,820","736.89","978.80","642.50","0.03","-86.92"
"LTF","201.01","206.79","199.78","199.78","203.50","-","3.72","1.86","2,03,57,652","413.99","211.20","129.20","5.13","8.37"
"TATACOMM","1,700.30","1,813.10","1,700.30","1,731.60","1,763.50","-","31.90","1.84","34,63,462","616.68","2,175.00","1,291.00","1.29","-6.45"
"MAPMYINDIA","1,795.90","1,840.00","1,777.00","1,795.90","1,825.10","-","32.70","1.82","2,61,496","46.98","2,559.00","1,513.00","2.91","-27.51"
"MSUMI","43.70","44.78","43.10","64.47","43.71","-","0.73","1.70","1,63,42,618","71.66","51.33","30.72","5.57","-14.86"
"TATASTEEL","160.10","162.75","160.10","159.90","162.50","-","2.60","1.63","3,07,28,478","497.06","170.18","122.62","4.78","-4.29"
"CAMPUS","295.00","304.40","291.25","293.55","298.30","-","4.75","1.62","13,87,776","41.32","371.90","210.00","4.32","-1.66"
"INDHOTEL","761.00","769.20","751.20","753.95","766.00","-","12.05","1.60","82,63,373","630.64","894.90","571.05","-0.36","28.47"
"APTUS","345.45","353.00","344.00","344.65","349.95","-","5.30","1.54","14,30,879","49.85","401.65","267.95","8.38","6.11"
"ANANDRATHI","2,590.00","2,690.00","2,570.00","2,586.50","2,626.00","-","39.50","1.53","8,04,180","212.45","2,690.00","1,594.00","23.94","-33.78"
"GODFRYPHLP","9,222.00","9,420.00","9,182.50","9,202.50","9,340.00","-","137.50","1.49","2,21,225","206.76","9,828.00","3,965.50","12.34","107.27"
"HDFCAMC","5,528.50","5,626.00","5,510.50","5,510.00","5,590.00","-","80.00","1.45","16,93,816","945.33","5,626.00","3,563.05","10.56","34.79"
"FLUOROCHEM","3,450.00","3,610.00","3,450.00","3,443.80","3,493.00","-","49.20","1.43","2,32,143","81.82","4,880.95","3,101.05","-2.13","3.34"
"GODREJAGRO","786.00","817.80","783.15","788.35","799.00","-","10.65","1.35","7,63,759","61.45","874.00","654.00","2.24","-7.89"
"ECLERX","3,696.00","3,770.70","3,661.20","3,669.10","3,718.00","-","48.90","1.33","83,464","31.00","3,877.00","2,168.00","1.20","46.91"
"GODREJPROP","2,350.00","2,369.00","2,330.20","2,337.00","2,367.00","-","30.00","1.28","9,44,125","221.98","3,399.00","1,900.00","-4.83","-30.89"
"IIFL","527.00","537.10","526.00","527.00","533.70","-","6.70","1.27","18,78,734","100.00","560.60","279.80","8.07","8.76"
"LATENTVIEW","434.80","444.00","431.25","434.80","440.00","-","5.20","1.20","2,88,360","12.62","556.00","341.20","7.60","-22.01"
